# Simulation 1 (Up to date)
# 256 data points written for 10 variables.
# Simulation warnings:
#   Stage began to tumble under thrust.
#   Large angle of attack encountered (28.3).
#
# Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),CP location (cm),CG location (cm),Normal force coefficient (?),Pitch moment coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
15.688,99.494,-13.005,45.313,54.299,13.92,-16.385,-0.031608,7.62,45.604
15.686,99.574,-16.997,45.305,54.297,13.898,-16.348,-0.054072,7.62,45.604
15.684,99.7,-20.989,45.296,54.295,13.872,-16.301,-0.082562,7.62,45.604
15.682,99.875,-24.979,45.286,54.293,13.842,-16.244,-0.1171,7.62,45.604
15.679,100.1,-28.969,45.276,54.291,13.808,-16.179,-0.15771,7.62,45.604
15.677,100.41,-32.955,45.261,54.289,13.759,-16.097,-0.20451,7.62,45.604
15.675,100.78,-36.939,45.244,54.287,13.703,-16.004,-0.25749,7.62,45.604
15.673,101.2,-40.922,45.226,54.284,13.642,-15.901,-0.31669,7.62,45.604
15.67,101.68,-44.904,45.207,54.282,13.574,-15.786,-0.38212,7.62,45.604
15.668,102.12,-48.886,45.194,54.28,13.523,-15.672,-0.45331,7.62,45.604
15.665,102.58,-52.871,45.184,54.278,13.477,-15.553,-0.53033,7.62,45.604
15.661,103.09,-56.854,45.172,54.275,13.423,-15.423,-0.61341,7.62,45.604
15.657,103.66,-60.835,45.158,54.273,13.36,-15.28,-0.70256,7.62,45.604
# Event GROUND_HIT occurred at t=5.4565 seconds
# Event SIMULATION_END occurred at t=5.4565 seconds
